plant,axis,metamer,organ,element,nitrates,starch,max_proteins,amino_acids,proteins,Nstruct,mstruct,fructan,sucrose,green_area,cytokinins
1,MS,1,blade,LeafElement1,0,0,816.6666667,1,10,0.00034,0.04,0,0,0.0016,2.5
1,MS,1,internode,HiddenElement,0,0,432.4324324,3,32,0.000308,0.074,0,406,0.0001,0.1
1,MS,1,sheath,StemElement,0,0,431.0344828,3,25,0.000425,0.058,0,319,0.0002,0.15
1,MS,2,blade,LeafElement1,0,0,2450,8,80,0.000471,0.05,0,120,0.00228,3.5
1,MS,2,internode,HiddenElement,0,0,431.1926606,5,47,0.000259,0.109,0,594,0.00025,0.1
1,MS,2,sheath,StemElement,0,0,438.3561644,3,32,0.000278,0.073,0,398,0.0004,0.15
1,MS,3,blade,LeafElement1,0,0,2450,19,193,0.000771,0.09,0,481,0.0034,8
1,MS,3,internode,HiddenElement,0,0,434.2105263,7,66,0.000316,0.152,0,828,0.0004,0.15
1,MS,3,sheath,StemElement,0,0,431.5789474,4,41,0.000275,0.095,0,517,0.0005,0.2
1,MS,4,blade,LeafElement1,0,0,2450,34,343,0.000969,0.14,0,750,0.00346,15
1,MS,4,internode,HiddenElement,0,0,431.25,7,69,0.000425,0.16,0,875,0.0004,0.5
1,MS,4,internode,StemElement,0,0,437.5,1,14,0.000086,0.032,0,177,0.00008,0.5
1,MS,4,sheath,StemElement,0,0,430.8943089,5,53,0.000597,0.123,0,672,0.0006,0.5
1,MS,5,internode,HiddenElement,0,0,433.9622642,5,46,0.000509,0.106,0,582,0.0005,0.7
1,MS,5,internode,StemElement,0,0,431.0344828,2,25,0.000275,0.058,0,315,0.00027,0.85
1,MS,6,internode,StemElement,0,0,1157.142857,24,243,0.001013,0.21,0,726,0.0015,15
4,MS,1,blade,LeafElement1,0,0,816.6666667,1,10,0.00034,0.04,0,0,0.0016,2.5
4,MS,1,internode,HiddenElement,0,0,432.4324324,3,32,0.000308,0.074,0,406,0.0001,0.1
4,MS,1,sheath,StemElement,0,0,431.0344828,3,25,0.000425,0.058,0,319,0.0002,0.15
4,MS,2,blade,LeafElement1,0,0,2450,8,80,0.000471,0.05,0,120,0.00228,3.5
4,MS,2,internode,HiddenElement,0,0,431.1926606,5,47,0.000259,0.109,0,594,0.00025,0.1
4,MS,2,sheath,StemElement,0,0,438.3561644,3,32,0.000278,0.073,0,398,0.0004,0.15
4,MS,3,blade,LeafElement1,0,0,2450,19,193,0.000771,0.09,0,481,0.0034,8
4,MS,3,internode,HiddenElement,0,0,434.2105263,7,66,0.000316,0.152,0,828,0.0004,0.15
4,MS,3,sheath,StemElement,0,0,431.5789474,4,41,0.000275,0.095,0,517,0.0005,0.2
4,MS,4,blade,LeafElement1,0,0,2450,34,343,0.000969,0.14,0,750,0.00346,15
4,MS,4,internode,HiddenElement,0,0,431.25,7,69,0.000425,0.16,0,875,0.0004,0.5
4,MS,4,internode,StemElement,0,0,437.5,1,14,0.000086,0.032,0,177,0.00008,0.5
4,MS,4,sheath,StemElement,0,0,430.8943089,5,53,0.000597,0.123,0,672,0.0006,0.5
4,MS,5,internode,HiddenElement,0,0,433.9622642,5,46,0.000509,0.106,0,582,0.0005,0.7
4,MS,5,internode,StemElement,0,0,431.0344828,2,25,0.000275,0.058,0,315,0.00027,0.85
4,MS,6,internode,StemElement,0,0,1157.142857,24,243,0.001013,0.21,0,726,0.0015,15
